Name,Team,Country,Position,League,Shirt Number,Priority
Bukayo Saka,Arsenal,ENG,FW,Premier League,7, 1
Gabriel Jesus,Arsenal,BRA,FW,Premier League,9, 1
Eberechi Eze,Arsenal,ENG,FW,Premier League,10, 2
Gabriel Martinelli,Arsenal,BRA,FW,Premier League,11,1
Viktor Gyokeres,Arsenal,SWE,FW,Premier League,14, 1
Leandro Trossard,Arsenal,BEL,FW,Premier League,19, 2
Noni Madueke,Arsenal,ENG,FW,Premier League,20, 2
Kai Havertz,Arsenal,GER,FW,Premier League,29, 1
Guglielmo Vicario,Tottenham Hotspur,ITA,GK,Premier League,1, 2
Antonín Kinský,Tottenham Hotspur,CZE,GK,Premier League,31, 3
Brandon Austin,Tottenham Hotspur,ENG,GK,Premier League,40, 3
Radu Drăgușin,Tottenham Hotspur,ROU,CB,Premier League,3, 3
Kevin Danso,Tottenham Hotspur,AUT,CB,Premier League,4, 3
Destiny Udogie,Tottenham Hotspur,ITA,LB / RB / LM,Premier League,13, 3
Cristian Romero,Tottenham Hotspur,ARG,CB,Premier League,17, 1
Pedro Porro,Tottenham Hotspur,ESP,RB / RWB,Premier League,23, 2
Djed Spence,Tottenham Hotspur,ENG,LB / RB / RM / LWB,Premier League,24, 3
Kōta Takai,Tottenham Hotspur,JPN,CB,Premier League,25, 3
Ben Davies,Tottenham Hotspur,WAL,CB / LB,Premier League,33, 3
Micky van de Ven,Tottenham Hotspur,NED,CB,Premier League,37, 2
João Palhinha,Tottenham Hotspur,POR,CM / CB,Premier League,6, 2
Xavi Simons,Tottenham Hotspur,NED,AM / LW / CM,Premier League,7, 1
Yves Bissouma,Tottenham Hotspur,MLI,CM,Premier League,8, 3
James Maddison,Tottenham Hotspur,ENG,AM / CM / RW,Premier League,10, 2
Archie Gray,Tottenham Hotspur,ENG,CM / LB,Premier League,14, 3
Lucas Bergvall,Tottenham Hotspur,SWE,CM / AM / LW,Premier League,15, 3
Dejan Kulusevski,Tottenham Hotspur,SWE,AM / RW,Premier League,21, 2
Pape Matar Sarr,Tottenham Hotspur,SEN,CM / AM,Premier League,29, 3
Rodrigo Bentancur,Tottenham Hotspur,URU,CM,Premier League,30, 2
Richarlison,Tottenham Hotspur,BRA,ST / LW / AM,Premier League,9, 1
Mathys Tel,Tottenham Hotspur,FRA,ST / RW,Premier League,11, 2
Dominic Solanke,Tottenham Hotspur,ENG,ST,Premier League,19, 3
Mohammed Kudus,Tottenham Hotspur,GHA,RW / AM / ST,Premier League,20, 2
Brennan Johnson,Tottenham Hotspur,WAL,LW / RW,Premier League,22, 3
Wilson Odobert,Tottenham Hotspur,FRA,LW  / RW,Premier League,28, 3
Randal Kolo Muani,Tottenham Hotspur,FRA,RW / ST,Premier League,39, 1
Dane Scarlett,Tottenham Hotspur,ENG,ST / LW,Premier League,44, 3
Luka Vušković,Tottenham Hotspur,CRO,CB,Premier League,16, 3
Yang Min-hyeok,Tottenham Hotspur,KOR,RW,Premier League,18, 3
Manor Solomon,Tottenham Hotspur,ISR,LW / RW,Premier League,27, 3
Ashley Phillips,Tottenham Hotspur,ENG,CB,Premier League,35, 3
Alejo Véliz,Tottenham Hotspur,ARG,ST,Premier League,36, 3
Alfie Devine,Tottenham Hotspur,ENG,CM / AM,Premier League,45, 3
Manuel Neuer,Bayern Munich,GER,GK,Bundesliga,1, 1
Dayot Upamecano,Bayern Munich,FRA,DF,Bundesliga,2, 2
Kim Min-jae,Bayern Munich,KOR,DF,Bundesliga,3, 2
Jonathan Tah,Bayern Munich,GER,DF,Bundesliga,4, 2
Joshua Kimmich,Bayern Munich,GER,MF,Bundesliga,6, 1
Serge Gnabry,Bayern Munich,GER,FW,Bundesliga,7, 1
Leon Goretzka,Bayern Munich,GER,MF,Bundesliga,8, 1
Harry Kane,Bayern Munich,ENG,FW,Bundesliga,9, 1
Jamal Musiala,Bayern Munich,GER,MF,Bundesliga,10, 1
Nicolas Jackson,Bayern Munich,SEN,FW,Bundesliga,11, 2
Luis Díaz,Bayern Munich,COL,FW,Bundesliga,14, 1
Michael Olise,Bayern Munich,FRA,FW,Bundesliga,17, 1
Alphonso Davies,Bayern Munich,CAN,DF,Bundesliga,19, 1
Altay Bayindir,Manchester United,TUR,GK,Premier League,1, 3
Tom Heaton,Manchester United,ENG,GK,Premier League,22, 3
Senne Lammens,Manchester United,BEL,GK,Premier League,31, 2
Diogo Dalot,Manchester United,POR,DF,Premier League,2, 1
Matthijs de Ligt,Manchester United,NED,DF,Premier League,4, 2
Harry Maguire,Manchester United,ENG,DF,Premier League,5, 1
Tyrell Malacia,Manchester United,NED,DF,Premier League,12, 3
Lisandro Martínez,Manchester United,ARG,DF,Premier League,6, 2
Noussair Mazraoui,Manchester United,MAR,DF,Premier League,3, 3
Luke Shaw,Manchester United,ENG,DF,Premier League,23, 3
Leny Yoro,Manchester United,FRA,DF,Premier League,15, 3
Patrick Chinazaekpere Dorgu,Manchester United,ITA,DF,Premier League,13, 3
Casemiro,Manchester United,BRA,MF,Premier League,18, 1
Bruno Fernandes,Manchester United,POR,MF,Premier League,8, 1
Mason Mount,Manchester United,ENG,MF,Premier League,7, 2
Manuel Ugarte,Manchester United,URU,MF,Premier League,25, 2
Kobbie Mainoo,Manchester United,ENG,MF,Premier League,37, 1
Amad Diallo,Manchester United,CIV,FW,Premier League,16, 2
Matheus Cunha,Manchester United,BRA,FW,Premier League,10, 2
Bryan Mbeumo,Manchester United,CMR,FW,Premier League,19, 2
Benjamin Sesko,Manchester United,SVN,FW,Premier League,30, 2
Joshua Zirkzee,Manchester United,NED,FW,Premier League,11, 3
André Onana,Manchester United,CMR,GK,Premier League,24, 2
Rasmus Højlund,Manchester United,DEN,FW,Premier League,9, 1
